0;焦一达;18858873214;68.28;
1;施亦丹;18841126816;89.62;
2;田笑楠;18805555610;64.42;
3;王陈瑞;18816277473;17.41;
4;王蕾;18828673075;12.22;
5;吴頔;18883752141;64.77;
6;杨碧环;18845506766;5.52;
7;张博;18880065585;86.53;
8;周泉;18817470157;4.68;
9;陈春芳;18855202081;87.23;
10;陈施羽;18803734847;41.67;
11;高蔚;18876174535;67.00;
12;胡景南;18861113361;75.76;
13;黄雪姣;18856676433;97.84;
14;蒋昊;18804465133;3.87;
15;林雪妮;18848251877;87.00;
16;缪如炜;18832085144;29.51;
17;石元萍;18824574044;67.75;
18;王东瑶;18871528473;57.58;
19;季迪;18881117855;23.54;
20;刘祎婷;18856251376;73.38;
21;王昕桐;18845615441;78.47;
22;王知飞;18863422487;90.61;
23;徐天鹏;18885736362;10.42;
24;杨文;18807320662;8.60;
25;杨小龙;18861213366;21.76;
26;姚思燮;18836748304;3.62;
27;于路源;18848738178;57.77;
28;郝建宇;18831254126;94.02;
29;吉磊;18857881651;43.70;
30;彭丽曼;18804232505;13.18;
31;赵振鹏;18826307135;60.61;
32;陈诺;18806822861;22.03;
33;胡筱磊;18838577704;12.27;
34;梁耀丹;18878161378;37.83;
35;赵欣瑶;18808651756;90.77;
36;杜文静;18870461886;62.86;
37;黄欣雨;18886836373;52.35;
38;李卓尔;18810254056;11.58;
39;夏梦倩;18885764526;22.62;
40;辛香英;18851568154;72.64;
41;杨炯;18803333634;60.77;
42;杨丝桐;18862051200;36.70;
43;张孝东;18883644767;49.33;
44;朱韬;18813587711;84.86;
45;戴向阳;18831800853;88.74;
46;于心彤;18861028333;100.22;
47;张雅琦;18828724307;29.30;
48;张媛媛;18842574822;82.14;
49;赵培;18808576131;92.53;
50;周兆婷;18865533651;5.80;
51;王钰涵;18831665510;78.73;
52;周满;18864073325;36.50;
53;吴桐;18805674172;84.24;
54;张小禾;18838841100;36.15;
55;刘文玲;18803552251;90.08;
56;李心悦;18873577008;17.47;
57;裴清芝;18850472360;47.13;
58;石珊;18871280710;14.65;
59;唐静;18873277470;100.06;
60;杨婷婷;18841836044;85.24;
61;陈梦婷;18850473653;2.23;
62;成蕾蓉;18815005715;34.64;
63;李秋实;18821823542;51.54;
64;李舟;18887437310;88.23;
65;刘婉晴;18820433572;29.31;
66;吴国民;18817858443;43.03;
67;刘雪梅;18833108327;83.48;
68;申翠叶;18826834852;64.75;
69;杨岩;18860821107;53.57;
70;银鑫;18815026074;31.84;
71;余萍;18821702544;97.53;
72;张寒梅;18855258580;3.15;
73;陈鹏程;18886857172;58.65;
74;杜亚杰;18855442831;51.15;
75;李蕊;18877344155;59.84;
76;闵莞;18867547400;31.12;
77;陈斐;18866465454;31.43;
